,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month,Launch Mass Categories,Expected Lifetime Categories,Period Categories
360,2010-032A,"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",South Korea,Korea Aerospace Research Institute (KARI),South Korea,EADS Astrium/Electronics and Telecommunications Research Institute (ETRI),Government,Earth Observation/Communications,Optical Imaging/Meteorology,GEO,,1436.1,13.0,2460.0,,,Guiana Space Center,Ariane 5 ECA,2010,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
434,2007-032A,DirecTV-10,United States of America,"DirecTV, Inc.",United States of America,Boeing Space & Intelligence Systems,Commercial,Communications,,GEO,,1436.1,15.0,5900.0,3700,18000,Baikonur Cosmodrome,Proton M,2007,7,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
435,2008-013A,DirecTV-11,United States of America,"DirecTV, Inc.",United States of America,Boeing Satellite Development Center,Commercial,Communications,,GEO,,1436.1,13.0,5900.0,,,Sea Launch Odyssey,Zenit 3SL,2008,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
436,2009-075A,DirecTV-12,United States of America,"DirecTV, Inc.",United States of America,Boeing Space Systems,Commercial,Communications,,GEO,,1436.04,15.0,5900.0,,"8,700 (BOL)",Baikonur Cosmodrome,Breeze M,2009,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
437,2014-078B,DirecTV-14,United States of America,"DirecTV, Inc.",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1443.51,15.0,5900.0,,20000,Guiana Space Center,Ariane 5 ECA,2014,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
439,2002-023A,DirecTV-5 (Tempo 1),United States of America,"DirecTV, Inc.",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.08,15.0,4300.0,3640,,Baikonur Cosmodrome,Proton K,2002,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
440,2005-019A,DirecTV-8,United States of America,"DirecTV, Inc.",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,12.0,3800.0,,8200,Baikonur Cosmodrome,Proton M/Breeze M,2005,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
441,2006-043A,DirecTV-9S,United States of America,"DirecTV, Inc.",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,5500.0,2364,13900,Guiana Space Center,Ariane 5 ECA,2006,10,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
658,2003-008A,"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",United States of America,US Air Force,United States of America,Lockheed Martin Missiles & Space,Military,Communications,,GEO,,1436.12,10.0,1156.0,884,1240,Cape Canaveral,Atlas 2A,2003,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
659,2003-040A,"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",United States of America,US Air Force,United States of America,Lockheed Martin Missiles & Space,Military,Communications,,GEO,,1436.1,10.0,1156.0,884,1240,Cape Canaveral,Delta 4,2003,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
660,1997-065A,"DSCS III-F10 (USA 135, DSCS III B-USA 13) (Defense Satellite Communications System)",United States of America,US Air Force,United States of America,Lockheed Martin Missiles & Space,Military,Communications,,GEO,,1436.1,10.0,1156.0,884,1240,Cape Canaveral,Delta 4,1997,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
661,2000-065A,"DSCS III-F12 (USA 153, DSCS III B-USA  (Defense Satellite Communications System)",United States of America,US Air Force,United States of America,Lockheed Martin Missiles & Space,Military,Communications,,GEO,,1436.12,10.0,1156.0,884,1240,Cape Canaveral,Atlas 2A,2000,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
662,1995-038A,"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",United States of America,US Air Force,United States of America,Lockheed Martin Missiles & Space,Military,Communications,,GEO,,1436.1,10.0,1156.0,884,1240,Cape Canaveral,Atlas 2A,1995,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
663,2000-001A,"DSCS III-FUSA 11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",United States of America,US Air Force,United States of America,Lockheed Martin Missiles & Space,Military,Communications,,GEO,,1436.13,10.0,1156.0,884,1240,Cape Canaveral,Atlas 2A,2000,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
664,2000-024A,DSP 20 (USA 149) (Defense Support Program),United States of America,US Air Force,United States of America,TRW and Aerojet Electronics Systems,Military,Earth Observation,Infrared Imaging,GEO,,142.08,9.0,2380.0,,1485,Cape Canaveral,Titan IVB,2000,5,Medium Weight Satellites,Long Expected Lifetime,Fast Rotation Period
665,2001-033A,DSP 21 (USA 159) (Defense Support Program),United States of America,US Air Force,United States of America,TRW and Aerojet Electronics Systems,Military,Earth Observation,Infrared Imaging,GEO,,1436.14,9.0,2380.0,,1485,Cape Canaveral,Titan 4B,2001,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
666,2004-004A,DSP 22 (USA 176) (Defense Support Program),United States of America,US Air Force,United States of America,TRW and Aerojet Electronics Systems,Military,Earth Observation,Infrared Imaging,GEO,,1436.12,9.0,2380.0,,1485,Cape Canaveral,Titan 4B,2004,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
673,1997-050A,"Eagle-1 (AMC-3, Americom 3, GE-3)",United States of America,Global Eagle Entertainment,United States of America,Lockheed Commercial Space Systems,Commercial,Communications,,GEO,,1436.08,15.0,2845.0,1600,"6,500 (EOL)",Cape Canaveral,Atlas 2AS,1997,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
675,2006-003A,Echostar 10,United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.0,15.0,4333.0,,10000,Sea Launch Odyssey,Zenit 3SL,2006,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
676,2008-035A,Echostar 11,United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,5500.0,,20000,Sea Launch Odyssey,Zenit 3SL,2008,7,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
677,2010-010A,Echostar 14,United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.11,15.0,6384.0,3223,20000,Baikonur Cosmodrome,Proton M,2010,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
678,2010-034A,Echostar 15,United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.57,15.0,5521.0,,20000,Baikonur Cosmodrome,Proton M,2010,7,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
679,2012-065A,Echostar 16,United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.06,15.0,6658.0,3228,,Baikonur Cosmodrome,Proton M,2012,11,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
680,2012-035A,Echostar 17,United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.13,15.0,6100.0,,16100,Guiana Space Center,Ariane 5 ECA,2012,7,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
681,2016-039B,Echostar 18,United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.3,15.0,6300.0,,,Guiana Space Center,Ariane 5 ECA,2016,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
682,2016-079A,Echostar 19,United States of America,"HughesNet leased from Echostar Technologies, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.3,15.0,6764.0,,,Cape Canaveral,Atlas 5,2016,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
683,2017-032A,Echostar 21 (TerreStar 2),United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,6900.0,,,Baikonur Cosmodrome,Proton,2017,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
684,2017-014A,Echostar 23,United States of America,"Echostar Satellite Services, LLC",United States of America,Lockheed Martin Missiles & Space,Commercial,Communications,,GEO,,1436.1,15.0,5600.0,,,Cape Canaveral,Falcon 9,2017,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
685,2002-006A,Echostar 7,United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.07,12.0,4027.0,2200,13000,Cape Canaveral,Atlas 3B,2002,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
686,2003-034A,"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",United States of America,"Echostar Satellite Services, LLC/Intelsat",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.08,13.0,4000.0,2500,,Sea Launch Odyssey,Zenit 3SL,2003,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
687,2008-016A,"Echostar G1 (ICO G1, DBSD G1)",United States of America,"Echostar Satellite Services, LLC",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,6600.0,,16000,Cape Canaveral,Atlas 5,2008,4,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
697,2011-001A,Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2]),Russia,Roshydromet - Planeta,Russia,Lavochkin,Government,Earth Observation,Meteorology,GEO,,1423.35,10.0,1766.0,,,Baikonur Cosmodrome,Zenit,2011,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
698,2015-074A,Electro-L2,Russia,Roshydromet - Planeta,Russia,Lavochkin,Government,Earth Observation,Meteorology,GEO,,1434.47,10.0,1800.0,,,Baikonur Cosmodrome,Zenit,2015,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
699,2019-095A,Electro-L3,Russia,Roshydromet - Planeta,Russia,Lavochkin,Government,Earth Observation,Meteorology,GEO,,1420.05,10.0,2094.0,,,Baikonur Cosmodrome,Proton,2019,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
700,2023-016A,Electro-L4,Russia,Roshydromet - Planeta,Russia,Lavochkin,Government,Earth Observation,Meteorology,GEO,,1436.14,10.0,8429.0,2283,,Baikonur Cosmodrome,Proton,2023,2,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
721,2018-090A,Es'hail-2,France,Es’hailSat,Japan,Mitsubishi Electric,Multi Users,Communications,,GEO,,1436.1,15.0,5300.0,,,Cape Canaveral,Falcon 9,2018,11,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
724,2018-036F,ESPASat ( 286),United States of America,Air Force Research Laboratory,United States of America,Air Force Research Laboratory,Military,Technology Development,,GEO,,1410.06,13.0,4083.0,,,Cape Canaveral,Atlas 5,2018,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
765,2020-053B,Express-103,Russia,Russian Satellite Communications Company,Russia,ISS Reshetnev/Thales Alenia Space,Commercial,Communications,,GEO,,1436.1,15.0,2150.0,,,Baikonur Cosmodrome,Proton M,2020,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
766,2020-053A,Express-80,Russia,Russian Satellite Communications Company,Russia,ISS Reshetnev/Thales Alenia Space,Commercial,Communications,,GEO,,1436.1,15.0,2150.0,,,Baikonur Cosmodrome,Proton M,2020,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
770,2013-077A,Express-AM5,Russia,Russian Satellite Communications Company,Russia,OAO-ISS,Commercial,Communications,,GEO,,1430.6,15.0,3400.0,,,Baikonur Cosmodrome,Proton M,2013,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
771,2014-064A,Express-AM6 (Eutelsat 53A),Russia,Russian Satellite Communications Company,Russia,ISS Reshetnev,Commercial,Communications,,GEO,,1440.09,15.0,3358.0,1100,14000,Baikonur Cosmodrome,Proton M,2014,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
773,2015-048A,Express-AM8,Russia,Russian Satellite Communications Company,Russia,ISS Reshetnev,Commercial,Communications,,GEO,,1436.09,15.0,2100.0,,,Baikonur Cosmodrome,Proton DM,2015,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
775,2021-123A,Express-AMU3,Russia,Russian Satellite Communications Company,Russia,ISS Reshetnev,Commercial,Communications,,GEO,,1437.2,15.0,2150.0,1800,,Baikonur Cosmodrome,Proton M,2021,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
776,2021-123B,Express-AMU7,Russia,Russian Satellite Communications Company,Russia,ISS Reshetnev,Commercial,Communications,,GEO,,1437.2,15.0,1980.0,1500,,Baikonur Cosmodrome,Proton M,2021,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
777,2014-010A,Express-AT1,Russia,Russian Satellite Communications Company,Russia,OAO-ISS,Commercial,Communications,,GEO,,1436.4,15.0,1726.0,,,Baikonur Cosmodrome,Proton M,2014,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
778,2014-010B,Express-AT2,Russia,Russian Satellite Communications Company,Russia,OAO-ISS,Commercial,Communications,,GEO,,1429.75,15.0,1427.0,,,Baikonur Cosmodrome,Proton M,2014,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
793,2014-090A,Fengyun 2G (FY 2G),China,China Meteorological Administration,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Earth Science,GEO,,1436.02,13.0,1390.0,620,,Xichang Satellite Launch Center,Long March 3A,2014,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
794,2018-050A,Fengyun 2H (FY 2H),China,China Meteorological Administration,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Meteorology,GEO,,1436.1,5.0,1380.0,,,Xichang Satellite Launch Center,Long March 3A,2018,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
799,2016-077A,Fengyun 4A (FY 4A),China,China Meteorological Administration,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Meteorology,GEO,,1436.0,13.0,5300.0,,,Xichang Satellite Launch Center,Long March 3B,2016,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
800,2021-047A,Fengyun 4B (FY 4B),China,China Meteorological Administration,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Meteorology,GEO,,1436.0,13.0,5300.0,,,Xichang Satellite Launch Center,Long March 3B,2021,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
808,1989-077A,FLTSATCOM-8 (USA 46),United States of America,US Navy,United States of America,"TRW, Defense and Space Systems Group",Military,Communications,,GEO,,1436.13,5.0,2310.0,1884,,Cape Canaveral,Atlas Centaur,1989,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
816,1999-071A,Galaxy-11,United States of America,PanAmSat (Intelsat S.A.),United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.11,14.0,4488.0,2775,10400,Guiana Space Center,Ariane 4,1999,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
817,2003-013B,Galaxy-12,United States of America,PanAmSat (Intelsat S.A.),United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.07,15.0,1760.0,800,,Guiana Space Center,Ariane 5,2003,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
819,2005-030A,Galaxy-14,United States of America,PanAmSat (Intelsat S.A.),United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.07,15.0,2086.0,,4700,Baikonur Cosmodrome,Soyuz-Fregat,2005,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
820,2005-041A,Galaxy-15,United States of America,PanAmSat (Intelsat S.A.),United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.07,15.0,2033.0,,4700,Guiana Space Center,Ariane 5,2005,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
821,2006-023A,Galaxy-16,United States of America,PanAmSat (Intelsat S.A.),United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,4640.0,,10000,Sea Launch Odyssey,Zenit 3SL,2006,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
823,2008-024A,Galaxy-18,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,4642.0,,,Sea Launch Odyssey,Zenit 3SL,2008,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
824,2008-045A,Galaxy-19,United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,4690.0,,,Sea Launch Odyssey,Zenit 3SL,2008,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
825,1997-026A,"Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5)",United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.08,13.0,3515.0,,,Baikonur Cosmodrome,Proton K,1997,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
826,2005-022A,"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",United States of America,Intelsat S.A.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,13.0,5493.0,,16000,Sea Launch Odyssey,Zenit 3SL,2005,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
827,2020-056C,Galaxy-30,United States of America,Intelsat S.A.,United States of America,Northrup Grumman,Commercial,Communications,,GEO,,1436.1,15.0,3298.0,,,Guiana Space Center,Ariane 5,2020,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
828,2022-128A,Galaxy-33,United States of America,Intelsat S.A.,United States of America,Northrup Grumman,Commercial,Communications,,GEO,,1436.1,15.0,3650.0,,,Cape Canaveral,Falcon 9,2022,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
829,2022-128B,Galaxy-34,United States of America,Intelsat S.A.,United States of America,Northrup Grumman,Commercial,Communications,,GEO,,1436.1,15.0,3695.0,,,Cape Canaveral,Falcon 9,2022,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
830,2002-030A,Galaxy-3C,United States of America,"PanAmSat (Intelsat S.A.)/DirecTV, Inc.",United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.11,15.0,4860.0,2873,18000,Sea Launch Odyssey,Zenit 3SL,2002,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
873,2020-071A,Gaofen 13,China,China National Academy of Sciences (CNSAS),China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Optical Imaging,GEO,,1436.13,8.0,1000.0,,,Xichang Satellite Launch Center,Long March 3B,2020,10,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
874,2023-036A,Gaofen 13-02,China,China National Academy of Sciences (CNSAS),China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Optical Imaging,GEO,,1436.1,13.0,4600.0,2500,,Xichang Satellite Launch Center,Long March 3B,2023,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
880,2015-083A,Gaofen 4,China,China National Academy of Sciences (CNSAS),China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,Optical Imaging,GEO,,1436.1,8.0,4600.0,,,Xichang Satellite Launch Center,Long March 3B,2015,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
890,2015-075A,Garpun-12L (Cosmos 2513),Russia,Ministry of Defense,Russia,ISS Reshetnev,Military,Communications,,GEO,,1436.1,13.0,5000.0,,,Baikonur Cosmodrome,Proton M,2015,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
910,2018-100A,GEO-Kompsat-2A,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation,Meteorology,GEO,,1436.04,10.0,3507.0,,2600,Guiana Space Center,Ariane 5,2018,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
911,2020-013B,GEO-Kompsat-2B,South Korea,Korea Meteorological Administration/National Meteorological Satellite Center,South Korea,Korea Aerospace Research Institute (KARI),Government,Earth Observation,Meteorology,GEO,,1436.13,10.0,3379.0,,,Guiana Space Center,Ariane 5,2020,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
991,2006-018A,"GOES 13 (Geostationary Operational Environmental Satellite, GOES-N)",United States of America,US Air Force,United States of America,Boeing Satellite Systems,Military,Earth Observation,Earth Science/Meterology,GEO,,1436.0,7.0,3200.0,1533,2300,Cape Canaveral,Delta 4,2006,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
992,2009-033A,"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",United States of America,NOAA (National Oceanographic and Atmospheric Administration),United States of America,Boeing Satellite Systems,Government,Earth Observation,Earth Science/Meterology,GEO,,1436.0,10.0,3200.0,1533,2300,Cape Canaveral,Delta 4,2009,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
993,2010-008A,"GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P)",United States of America,NOAA (National Oceanographic and Atmospheric Administration),United States of America,Boeing Satellite Systems,Government,Earth Observation,Earth Science/Meterology,GEO,,1436.14,10.0,3175.0,2180,2300,Cape Canaveral,Delta 4,2010,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
994,2016-071A,GOES 16 (Geostationary Operational Environmental Satellite GOES-R),United States of America,NOAA (National Oceanographic and Atmospheric Administration),United States of America,Lockheed Martin Missiles & Space,Government,Earth Observation,Earth Science/Meterology,GEO,,1436.1,20.0,5192.0,2857,,Cape Canaveral,Atlas 5,2016,11,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
995,2018-022A,GOES 17 (Geostationary Operational Environmental Satellite GOES-S),United States of America,NOAA (National Oceanographic and Atmospheric Administration),United States of America,Lockheed Martin Missiles & Space,Government,Earth Observation,Earth Science/Meterology,GEO,,1436.09,15.0,5211.0,3000,,Cape Canaveral,Atlas 5,2018,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
996,2022-021A,GOES 18 (Geostationary Operational Environmental Satellite GOES-T),United States of America,NOAA (National Oceanographic and Atmospheric Administration),United States of America,Lockheed Martin Missiles & Space,Government,Earth Observation,Earth Science/Meterology,GEO,,1436.1,15.0,5209.0,2857,,Cape Canaveral,Atlas 5,2022,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1021,2018-013A,GovSat-1 (SES-16),Luxembourg,LuxGovSat,United States of America,Orbital ATK,Multi Users,Communications,,GEO,,1436.1,15.0,4230.0,,,Cape Canaveral,Falcon 9,2018,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1031,2012-051B,GSAT-10,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.07,15.0,3400.0,1493,,Guiana Space Center,Ariane 5,2012,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1032,2018-100B,GSAT-11,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.09,15.0,5854.0,,,Guiana Space Center,Ariane 5,2018,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1033,2011-034A,GSAT-12,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,8.0,1410.0,559,1430,Satish Dhawan Space Centre,PSLV C17,2011,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1034,2014-001A,GSAT-14,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,12.0,1982.0,,,Satish Dhawan Space Centre,GSLV,2014,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1035,2015-065A,GSAT-15,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,12.0,3164.0,,,Guiana Space Center,Ariane 5,2015,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1036,2014-078A,GSAT-16,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,15.0,3181.0,,,Guiana Space Center,Ariane 5 ECA,2014,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1037,2017-040B,GSAT-17,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,15.0,3477.0,,,Guiana Space Center,Ariane 5,2017,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1038,2016-060A,GSAT-18,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,15.0,3404.0,,,Guiana Space Center,Ariane 5,2016,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1039,2017-031A,GSAT-19E,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,10.0,3136.0,,,Satish Dhawan Space Centre,GSLV MK.3,2017,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1040,2022-067A,GSAT-24,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,15.0,4181.0,,,Guiana Space Center,Ariane 5,2022,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1041,2018-089A,GSAT-29,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,10.0,3400.0,,,Satish Dhawan Space Centre,GSLV MK.3,2018,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1042,2020-005A,GSAT-30,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1437.7,15.0,3357.0,,,Guiana Space Center,Ariane 5,2020,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1043,2019-007B,GSAT-31,India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,15.0,2536.0,,4700,Guiana Space Center,Ariane 5,2019,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1044,2015-041A,GSAT-6 (Insat 4-E),India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Multi Users,Communications,,GEO,,1436.1,12.0,2110.0,980,3100,Satish Dhawan Space Centre,GSLV,2015,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1045,2013-044B,GSAT-7,India,Indian Navy,India,Indian Space Research Organization (ISRO),Military,Communications,,GEO,,1436.0,7.0,2650.0,,,Guiana Space Center,Ariane 5 ECA,2013,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
1046,2018-105A,GSAT-7A,India,Indian Air Force,India,Indian Space Research Organization (ISRO),Military,Communications,,GEO,,1436.11,8.0,2250.0,,,Satish Dhawan Space Centre,GSLV Mk.2,2018,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
